Details for patient C0012i, combinations ordered by fitness (best to worst):

1. Fitness: 0.873663, Average: 0.603960, Chromosome: [0, 0, 0, 1, 1, 1, 0]
2. Fitness: 0.867017, Average: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
3. Fitness: 0.866864, Average: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
4. Fitness: 0.866463, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
5. Fitness: 0.866463, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
6. Fitness: 0.866435, Average: 0.678682, Chromosome: [0, 0, 1, 1, 1, 1, 0]
7. Fitness: 0.866130, Average: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
8. Fitness: 0.865448, Average: 0.731124, Chromosome: [0, 1, 1, 0, 1, 1, 0]
9. Fitness: 0.865222, Average: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
10. Fitness: 0.865082, Average: 0.598188, Chromosome: [0, 0, 0, 1, 1, 1, 1]
11. Fitness: 0.864785, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
12. Fitness: 0.864785, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
13. Fitness: 0.864675, Average: 0.677888, Chromosome: [0, 0, 1, 0, 1, 1, 0]
14. Fitness: 0.864455, Average: 0.555638, Chromosome: [0, 0, 0, 0, 1, 1, 0]
15. Fitness: 0.863844, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
16. Fitness: 0.863844, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
17. Fitness: 0.863528, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
18. Fitness: 0.862673, Average: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
19. Fitness: 0.862254, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
20. Fitness: 0.862254, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
21. Fitness: 0.861295, Average: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
22. Fitness: 0.860947, Average: 0.718874, Chromosome: [0, 1, 0, 1, 1, 1, 1]
23. Fitness: 0.860744, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
24. Fitness: 0.860648, Average: 0.552607, Chromosome: [0, 0, 0, 0, 1, 1, 1]
25. Fitness: 0.860644, Average: 0.723009, Chromosome: [0, 1, 0, 0, 1, 1, 0]
26. Fitness: 0.860504, Average: 0.671006, Chromosome: [0, 0, 1, 1, 1, 1, 1]
27. Fitness: 0.859982, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
28. Fitness: 0.859982, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
29. Fitness: 0.859810, Average: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
30. Fitness: 0.859657, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
31. Fitness: 0.859459, Average: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
32. Fitness: 0.859350, Average: 0.605679, Chromosome: [0, 0, 0, 1, 0, 1, 0]
33. Fitness: 0.858858, Average: 0.669553, Chromosome: [0, 0, 1, 0, 1, 1, 1]
34. Fitness: 0.858787, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
35. Fitness: 0.858436, Average: 0.755358, Chromosome: [1, 1, 0, 0, 1, 1, 1]
36. Fitness: 0.858347, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
37. Fitness: 0.858347, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
38. Fitness: 0.858030, Average: 0.587667, Chromosome: [0, 0, 0, 1, 1, 0, 1]
39. Fitness: 0.857414, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
40. Fitness: 0.857414, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
41. Fitness: 0.857220, Average: 0.751242, Chromosome: [1, 0, 0, 0, 1, 1, 1]
42. Fitness: 0.857050, Average: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
43. Fitness: 0.856366, Average: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
44. Fitness: 0.856080, Average: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
45. Fitness: 0.856000, Average: 0.719389, Chromosome: [0, 1, 0, 1, 1, 0, 1]
46. Fitness: 0.855463, Average: 0.738926, Chromosome: [0, 1, 1, 1, 0, 1, 0]
47. Fitness: 0.855220, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
48. Fitness: 0.855220, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
