Details for patient C0804i, combinations ordered by fitness (best to worst):

1. Fitness: 0.786123, Average: 0.779143, Chromosome: [1, 1, 1, 0, 0, 0, 0]
2. Fitness: 0.783892, Average: 0.777331, Chromosome: [1, 0, 1, 0, 0, 0, 0]
3. Fitness: 0.779498, Average: 0.777723, Chromosome: [1, 1, 1, 1, 0, 0, 0]
4. Fitness: 0.778432, Average: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
5. Fitness: 0.777530, Average: 0.775478, Chromosome: [1, 0, 1, 1, 0, 0, 0]
6. Fitness: 0.777245, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
7. Fitness: 0.776569, Average: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
8. Fitness: 0.775480, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
9. Fitness: 0.774760, Average: 0.769799, Chromosome: [1, 1, 1, 0, 0, 1, 0]
10. Fitness: 0.774183, Average: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
11. Fitness: 0.773197, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
12. Fitness: 0.772724, Average: 0.767971, Chromosome: [1, 0, 1, 0, 0, 1, 0]
13. Fitness: 0.772205, Average: 0.767563, Chromosome: [1, 0, 1, 0, 1, 0, 0]
14. Fitness: 0.771326, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
15. Fitness: 0.771237, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
16. Fitness: 0.769424, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
17. Fitness: 0.769153, Average: 0.774044, Chromosome: [1, 1, 0, 0, 0, 0, 0]
18. Fitness: 0.764504, Average: 0.769838, Chromosome: [1, 0, 0, 0, 0, 0, 0]
19. Fitness: 0.759424, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
20. Fitness: 0.759363, Average: 0.767612, Chromosome: [1, 1, 0, 1, 1, 0, 0]
21. Fitness: 0.759337, Average: 0.774516, Chromosome: [1, 1, 0, 1, 0, 0, 0]
22. Fitness: 0.759186, Average: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
23. Fitness: 0.758294, Average: 0.765298, Chromosome: [1, 1, 0, 0, 0, 1, 0]
24. Fitness: 0.757726, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
25. Fitness: 0.755163, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
26. Fitness: 0.755144, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
27. Fitness: 0.755100, Average: 0.765552, Chromosome: [1, 1, 0, 0, 1, 0, 0]
28. Fitness: 0.755093, Average: 0.762467, Chromosome: [1, 1, 1, 0, 0, 1, 1]
29. Fitness: 0.754241, Average: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
30. Fitness: 0.754124, Average: 0.763467, Chromosome: [1, 0, 0, 1, 1, 0, 0]
31. Fitness: 0.753776, Average: 0.770443, Chromosome: [1, 0, 0, 1, 0, 0, 0]
32. Fitness: 0.753766, Average: 0.761675, Chromosome: [1, 0, 0, 0, 0, 1, 0]
