Details for patient C0676i, combinations ordered by fitness (best to worst):

1. Fitness: 0.959779, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
2. Fitness: 0.959117, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
3. Fitness: 0.958707, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
4. Fitness: 0.958126, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
5. Fitness: 0.957714, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
6. Fitness: 0.957630, Average: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
7. Fitness: 0.957457, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
8. Fitness: 0.957231, Average: 0.755358, Chromosome: [1, 1, 0, 0, 1, 1, 1]
9. Fitness: 0.957129, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
10. Fitness: 0.956960, Average: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
11. Fitness: 0.956445, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
12. Fitness: 0.956112, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
13. Fitness: 0.954980, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
14. Fitness: 0.954309, Average: 0.718874, Chromosome: [0, 1, 0, 1, 1, 1, 1]
15. Fitness: 0.954260, Average: 0.751242, Chromosome: [1, 0, 0, 0, 1, 1, 1]
16. Fitness: 0.953970, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
17. Fitness: 0.953937, Average: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
18. Fitness: 0.953908, Average: 0.762467, Chromosome: [1, 1, 1, 0, 0, 1, 1]
19. Fitness: 0.953418, Average: 0.756695, Chromosome: [1, 1, 0, 0, 1, 0, 1]
20. Fitness: 0.953392, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
21. Fitness: 0.953315, Average: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
22. Fitness: 0.953298, Average: 0.757977, Chromosome: [1, 1, 0, 0, 0, 1, 1]
23. Fitness: 0.952880, Average: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
24. Fitness: 0.952879, Average: 0.760635, Chromosome: [1, 0, 1, 0, 0, 1, 1]
25. Fitness: 0.952362, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
26. Fitness: 0.952016, Average: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
27. Fitness: 0.951338, Average: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
28. Fitness: 0.950786, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
29. Fitness: 0.950414, Average: 0.752535, Chromosome: [1, 0, 0, 0, 1, 0, 1]
30. Fitness: 0.950389, Average: 0.714262, Chromosome: [0, 1, 0, 0, 1, 1, 1]
31. Fitness: 0.950285, Average: 0.719389, Chromosome: [0, 1, 0, 1, 1, 0, 1]
32. Fitness: 0.950104, Average: 0.754336, Chromosome: [1, 0, 0, 0, 0, 1, 1]
33. Fitness: 0.949863, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
34. Fitness: 0.949224, Average: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
35. Fitness: 0.948828, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
36. Fitness: 0.948560, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
37. Fitness: 0.946904, Average: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
38. Fitness: 0.946498, Average: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
39. Fitness: 0.946416, Average: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
40. Fitness: 0.946320, Average: 0.767986, Chromosome: [1, 1, 1, 0, 0, 0, 1]
41. Fitness: 0.946193, Average: 0.715013, Chromosome: [0, 1, 0, 0, 1, 0, 1]
42. Fitness: 0.945762, Average: 0.763378, Chromosome: [1, 1, 0, 0, 0, 0, 1]
43. Fitness: 0.945502, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
44. Fitness: 0.945345, Average: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
45. Fitness: 0.945250, Average: 0.766193, Chromosome: [1, 0, 1, 0, 0, 0, 1]
46. Fitness: 0.944957, Average: 0.671006, Chromosome: [0, 0, 1, 1, 1, 1, 1]
47. Fitness: 0.944481, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
48. Fitness: 0.944432, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
49. Fitness: 0.944342, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
50. Fitness: 0.944211, Average: 0.718745, Chromosome: [0, 1, 0, 0, 0, 1, 1]
51. Fitness: 0.944193, Average: 0.767612, Chromosome: [1, 1, 0, 1, 1, 0, 0]
52. Fitness: 0.944157, Average: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
53. Fitness: 0.943969, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
54. Fitness: 0.943405, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
55. Fitness: 0.943253, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
56. Fitness: 0.943191, Average: 0.677043, Chromosome: [0, 0, 1, 1, 0, 1, 1]
57. Fitness: 0.943075, Average: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
58. Fitness: 0.942957, Average: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
59. Fitness: 0.942752, Average: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
60. Fitness: 0.942443, Average: 0.759609, Chromosome: [1, 0, 0, 0, 0, 0, 1]
61. Fitness: 0.942144, Average: 0.669553, Chromosome: [0, 0, 1, 0, 1, 1, 1]
62. Fitness: 0.942069, Average: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
63. Fitness: 0.941838, Average: 0.763467, Chromosome: [1, 0, 0, 1, 1, 0, 0]
64. Fitness: 0.941838, Average: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
65. Fitness: 0.941676, Average: 0.765552, Chromosome: [1, 1, 0, 0, 1, 0, 0]
66. Fitness: 0.941611, Average: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
67. Fitness: 0.941387, Average: 0.732213, Chromosome: [0, 1, 0, 1, 1, 0, 0]
68. Fitness: 0.940970, Average: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
69. Fitness: 0.940471, Average: 0.767563, Chromosome: [1, 0, 1, 0, 1, 0, 0]
70. Fitness: 0.940425, Average: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
71. Fitness: 0.940208, Average: 0.769799, Chromosome: [1, 1, 1, 0, 0, 1, 0]
72. Fitness: 0.939776, Average: 0.738699, Chromosome: [0, 1, 1, 1, 1, 0, 0]
73. Fitness: 0.939774, Average: 0.765298, Chromosome: [1, 1, 0, 0, 0, 1, 0]
74. Fitness: 0.939639, Average: 0.668580, Chromosome: [0, 0, 1, 1, 1, 0, 1]
75. Fitness: 0.939410, Average: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
76. Fitness: 0.939096, Average: 0.767971, Chromosome: [1, 0, 1, 0, 0, 1, 0]
77. Fitness: 0.938506, Average: 0.761240, Chromosome: [1, 0, 0, 0, 1, 0, 0]
78. Fitness: 0.938505, Average: 0.733257, Chromosome: [0, 1, 0, 1, 0, 1, 0]
79. Fitness: 0.937594, Average: 0.738926, Chromosome: [0, 1, 1, 1, 0, 1, 0]
80. Fitness: 0.937378, Average: 0.737381, Chromosome: [0, 1, 1, 0, 1, 0, 0]
81. Fitness: 0.937213, Average: 0.731124, Chromosome: [0, 1, 1, 0, 1, 1, 0]
82. Fitness: 0.936889, Average: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
83. Fitness: 0.936656, Average: 0.728859, Chromosome: [0, 1, 0, 0, 1, 0, 0]
84. Fitness: 0.936434, Average: 0.761675, Chromosome: [1, 0, 0, 0, 0, 1, 0]
85. Fitness: 0.936413, Average: 0.667249, Chromosome: [0, 0, 1, 0, 1, 0, 1]
86. Fitness: 0.936258, Average: 0.675861, Chromosome: [0, 0, 1, 0, 0, 1, 1]
